yearID,lgID,teamID,franchID,G,Ghome,W,L,R,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,percentW,OBP,SLG,OPS,WHIP,name
2002,NL,COL,COL,162,81,73,89,778,5512,1508,1032,283,41,152,497,1043,103,53,56,50,898,825,5.2,1,8,43,4280,1554,225,582,920,112,158,0.98,0.451,0.338,0.422532656,0.761,1.719,Colorado Rockies
2002,NL,SDN,SDP,162,81,66,96,662,5515,1393,985,243,29,136,547,1062,71,44,30,41,815,737,4.62,5,10,40,4309,1522,177,582,1108,128,162,0.97,0.407,0.321,0.381142339,0.702,1.627,San Diego Padres
2003,AL,MIN,MIN,162,81,90,72,801,5655,1567,1049,318,45,155,512,1027,94,44,63,52,758,716,4.41,7,8,45,4385,1526,187,402,997,87,114,0.98,0.556,0.342,0.431476569,0.773,1.563,Minnesota Twins
2003,AL,CHA,CHW,162,81,86,76,791,5487,1445,903,303,19,220,519,916,77,29,58,41,715,663,4.17,12,4,36,4293,1364,162,518,1056,93,154,0.98,0.531,0.33,0.445780937,0.776,1.453,Chicago White Sox
2003,AL,KCA,KCR,162,80,83,79,836,5568,1526,1037,288,39,162,476,926,120,42,75,57,867,809,5.06,7,10,36,4316,1569,190,566,865,108,143,0.98,0.512,0.337,0.427083333,0.764,1.693,Kansas City Royals
2003,AL,CLE,CLE,162,81,68,94,699,5572,1413,933,296,26,158,466,1062,86,61,62,41,778,682,4.21,5,7,34,4378,1477,179,501,943,126,178,0.98,0.42,0.316,0.401112706,0.717,1.545,Cleveland Indians
2003,AL,DET,DET,162,81,43,119,591,5466,1312,919,201,39,153,443,1099,98,63,47,49,928,847,5.3,3,5,27,4316,1616,195,557,764,138,194,0.97,0.265,0.301,0.375045737,0.676,1.768,Detroit Tigers
2003,AL,NYA,NYY,163,82,101,61,877,5605,1518,970,304,14,230,684,1042,98,33,81,35,716,653,4.02,8,12,49,4386,1512,145,375,1119,114,126,0.98,0.62,0.355,0.453166815,0.808,1.524,New York Yankees
2003,AL,BOS,BOS,162,81,95,67,961,5769,1667,1018,371,40,238,620,943,88,35,53,64,809,729,4.48,5,6,36,4394,1503,153,488,1141,113,130,0.98,0.586,0.36,0.490899636,0.851,1.579,Boston Red Sox
2003,AL,TOR,TOR,162,81,86,76,894,5661,1580,1000,357,33,190,546,1081,37,25,90,56,826,748,4.69,14,6,36,4305,1560,184,485,984,117,161,0.98,0.531,0.35,0.454513337,0.805,1.663,Toronto Blue Jays
2003,AL,BAL,BAL,163,81,71,91,743,5665,1516,1063,277,24,152,431,902,89,36,54,40,820,767,4.76,9,3,41,4349,1579,198,526,981,105,164,0.98,0.436,0.323,0.405472198,0.728,1.655,Baltimore Orioles
2003,AL,TBA,TBD,162,81,63,99,715,5654,1501,1028,298,38,137,420,1030,142,42,56,50,852,787,4.93,7,7,30,4310,1454,196,639,877,103,158,0.98,0.389,0.32,0.404315529,0.724,1.605,Tampa Bay Devil Rays
